time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,taker_aggregated_buy_volume_usd,taker_aggregated_sell_volume_usd,unit,agg_taker_aggregated_buy_volume_usd,agg_taker_aggregated_sell_volume_usd
2025-11-28 06:00:00,Binance,BTC,1h,91612.09,91612.09,91156.24,91300.69,40368603.2879,14079443.5569,26289159.731,usd,14079443.5569,26289159.731
2025-11-28 07:00:00,Binance,BTC,1h,91300.69,91568.98,90867.43,90910.87,63876873.6513,31122872.076,32754001.5753,usd,31122872.076,32754001.5753
2025-11-28 08:00:00,Binance,BTC,1h,90910.87,91717.0,90907.98,91690.0,82146747.2352,52234798.8144,29911948.4208,usd,52234798.8144,29911948.4208
2025-11-28 09:00:00,Binance,BTC,1h,91689.99,91850.0,91439.34,91599.99,53017137.7077,28252322.8954,24764814.8123,usd,28252322.8954,24764814.8123
2025-11-28 10:00:00,Binance,BTC,1h,91600.0,91874.86,91480.28,91850.49,72105616.5648,53408512.9883,18697103.5765,usd,53408512.9883,18697103.5765
2025-11-28 11:00:00,Binance,BTC,1h,91850.49,92030.0,91065.13,91437.64,83352029.3017,45909132.4466,37442896.8551,usd,45909132.4466,37442896.8551
2025-11-28 12:00:00,Binance,BTC,1h,91437.64,91692.3,91405.69,91513.4,32982708.3843,17379908.9491,15602799.4352,usd,17379908.9491,15602799.4352
2025-11-28 13:00:00,Binance,BTC,1h,91513.4,92635.0,91380.94,92377.01,113324474.4748,68115264.4229,45209210.0519,usd,68115264.4229,45209210.0519
2025-11-28 14:00:00,Binance,BTC,1h,92377.0,93092.0,91818.35,92250.01,216081342.4978,116887805.3222,99193537.1756,usd,116887805.3222,99193537.1756
2025-11-28 15:00:00,Binance,BTC,1h,92250.0,92796.0,91976.59,92362.49,103289142.9511,51889879.4016,51399263.5495,usd,51889879.4016,51399263.5495
2025-11-28 16:00:00,Binance,BTC,1h,92362.5,92376.0,90880.0,90936.23,126887570.7264,46074806.6204,80812764.106,usd,46074806.6204,80812764.106
2025-11-28 17:00:00,Binance,BTC,1h,90936.24,91208.43,90180.63,90663.98,305059397.4406,91121637.2145,213937760.2261,usd,91121637.2145,213937760.2261
2025-11-28 18:00:00,Binance,BTC,1h,90661.57,90958.57,90421.88,90830.57,60144329.4908,31716728.4767,28427601.0141,usd,31716728.4767,28427601.0141
2025-11-28 19:00:00,Binance,BTC,1h,90830.57,91202.55,90821.6,91157.44,32841690.5617,20615492.0097,12226198.552,usd,20615492.0097,12226198.552
2025-11-28 20:00:00,Binance,BTC,1h,91157.44,91225.45,90867.89,91201.1,28272241.1177,12825181.7257,15447059.392,usd,12825181.7257,15447059.392
2025-11-28 21:00:00,Binance,BTC,1h,91201.09,91247.16,90888.0,90888.01,20407040.596,6432987.7669,13974052.8291,usd,6432987.7669,13974052.8291
2025-11-28 22:00:00,Binance,BTC,1h,90888.01,91159.89,90705.57,91122.0,25101268.2263,11799917.1559,13301351.0704,usd,11799917.1559,13301351.0704
2025-11-28 23:00:00,Binance,BTC,1h,91122.0,91195.68,90890.7,90890.7,19603132.6444,7328902.3338,12274230.3106,usd,7328902.3338,12274230.3106
2025-11-29 00:00:00,Binance,BTC,1h,90890.71,90968.0,90768.13,90884.01,16980088.2384,6822007.2412,10158080.9972,usd,6822007.2412,10158080.9972
2025-11-29 01:00:00,Binance,BTC,1h,90884.01,91119.99,90797.36,90881.2,17266795.6316,7770860.686,9495934.9456,usd,7770860.686,9495934.9456
2025-11-29 02:00:00,Binance,BTC,1h,90881.2,90926.9,90546.36,90798.89,32696256.7236,11341165.9414,21355090.7822,usd,11341165.9414,21355090.7822
2025-11-29 03:00:00,Binance,BTC,1h,90798.9,90874.03,90661.12,90680.26,18496874.6837,10195132.6754,8301742.0083,usd,10195132.6754,8301742.0083
2025-11-29 04:00:00,Binance,BTC,1h,90680.26,90911.36,90551.12,90901.56,17674325.2087,9527285.6872,8147039.5215,usd,9527285.6872,8147039.5215
2025-11-29 05:00:00,Binance,BTC,1h,90901.55,90931.56,90733.22,90747.16,18263629.5772,450390.5649,1053656.2181,usd,9826055.596,8437573.9812
2025-11-29 06:00:00,Binance,BTC,1h,90747.16,90832.57,90311.92,90565.29,49972181.4747,450390.5649,1053656.2181,,22109304.6337,27862876.841
2025-11-29 07:00:00,Binance,BTC,1h,90565.3,90666.0,90375.01,90567.67,25495803.4194,450390.5649,1053656.2181,,13570221.9031,11925581.5163
2025-11-29 08:00:00,Binance,BTC,1h,90567.66,90738.17,90477.44,90629.67,18982088.1503,450390.5649,1053656.2181,,9928898.4827,9053189.6676
2025-11-29 09:00:00,Binance,BTC,1h,90629.67,90665.37,90500.0,90560.08,23130380.816,8686516.0347,14443864.7813,usd,8686516.0347,14443864.7813
2025-11-29 10:00:00,Binance,BTC,1h,90560.08,90647.98,90376.37,90552.47,26066887.2096,13776101.1103,12290786.0993,usd,13776101.1103,12290786.0993
2025-11-29 11:00:00,Binance,BTC,1h,90552.47,90682.33,90458.17,90673.19,18549511.3218,9195899.8844,9353611.4374,usd,9195899.8844,9353611.4374
2025-11-29 12:00:00,Binance,BTC,1h,90673.2,90810.45,90530.93,90616.01,22980504.6518,10988791.4815,11991713.1703,usd,10988791.4815,11991713.1703
2025-11-29 13:00:00,Binance,BTC,1h,90616.01,90805.99,90591.35,90783.17,22080016.337,11141443.7955,10938572.5415,usd,11141443.7955,10938572.5415
2025-11-29 14:00:00,Binance,BTC,1h,90783.16,90783.17,90610.41,90621.72,20995493.4335,7411993.9074,13583499.5261,usd,7411993.9074,13583499.5261
2025-11-29 15:00:00,Binance,BTC,1h,90621.73,91110.36,90621.72,91063.5,38141467.0306,22893800.5353,15247666.4953,usd,22893800.5353,15247666.4953
2025-11-29 16:00:00,Binance,BTC,1h,91063.5,91165.65,90862.22,91004.03,23326617.089,11734238.7048,11592378.3842,usd,11734238.7048,11592378.3842
2025-11-29 17:00:00,Binance,BTC,1h,91004.03,91019.0,90421.21,90421.21,72541756.1559,21977713.9333,50564042.2226,usd,21977713.9333,50564042.2226
2025-11-29 18:00:00,Binance,BTC,1h,90421.21,90719.16,90155.47,90690.84,75696774.2386,37745531.5854,37951242.6532,usd,37745531.5854,37951242.6532
2025-11-29 19:00:00,Binance,BTC,1h,90690.85,90850.83,90600.1,90640.78,27094594.4561,13524343.745,13570250.7111,usd,13524343.745,13570250.7111
2025-11-29 20:00:00,Binance,BTC,1h,90640.77,91035.27,90400.21,90963.29,30483725.2845,13991796.2156,16491929.0689,usd,13991796.2156,16491929.0689
2025-11-29 21:00:00,Binance,BTC,1h,90963.29,91051.87,90814.02,91008.68,16343424.6879,6470883.3506,9872541.3373,usd,6470883.3506,9872541.3373
2025-11-29 22:00:00,Binance,BTC,1h,91008.68,91008.69,90700.65,90753.02,28323574.3886,7360429.4537,20963144.9349,usd,7360429.4537,20963144.9349
